town,salesprice,lotarea,AC
PEOSTA,50900,10780,Yes
PEOSTA,290000,43560,Yes
DUBUQUE,272000,23958,Yes
DUBUQUE,149000,21780,unknown
DUBUQUE,149000,76666,unknown
DUBUQUE,149000,15682,unknown
DUBUQUE,149000,13504,unknown
DUBUQUE,149000,83635,unknown
DUBUQUE,149000,61420,unknown
DUBUQUE,20000,58937,Yes
DUBUQUE,68900,20000,unknown
DUBUQUE,509900,20000,unknown
DUBUQUE,38900,9657,Yes
DUBUQUE,4.00E+05,42253,Yes
DUBUQUE,198000,347304,No
DUBUQUE,77000,10150,No
DUBUQUE,87000,23520,No
DUBUQUE,318000,43996,Yes
PEOSTA,257000,33106,Yes
DUBUQUE,35000,24829,Yes
DUBUQUE,387254,44431,Yes
BELLEVUE,360000,142441,Yes
DUBUQUE,330000,43560,Yes
CASCADE,114900,7200,Yes
PEOSTA,170000,184694,No
DUBUQUE,285000,132422,Yes
DUBUQUE,3.00E+05,51401,Yes
DYERSVILLE,119000,8906,Yes
DYERSVILLE,60000,5750,Yes
DYERSVILLE,105000,8052,Yes
DYERSVILLE,114500,8052,No
DYERSVILLE,75800,10230,No
DYERSVILLE,110000,34848,Yes
DURANGO,150000,70567,Yes
DUBUQUE,368500,43560,Yes
DUBUQUE,560000,28875,Yes
ASBURY,196100,3038,Yes
unknown,44000,11663,unknown
DUBUQUE,194000,19602,Yes
DUBUQUE,27500,31280,unknown
DUBUQUE,65000,67082,unknown
unknown,75000,57499,unknown
DUBUQUE,170000,47916,Yes
DUBUQUE,105000,20374,No
DUBUQUE,25500,7752,unknown
DUBUQUE,110000,5040,No
DUBUQUE,114900,5000,Yes
DUBUQUE,42000,1850,No
DUBUQUE,42000,1036,unknown
DUBUQUE,65000,5550,unknown
DUBUQUE,65000,6200,Yes
DUBUQUE,97000,6000,Yes
DUBUQUE,57500,3150,Yes
DUBUQUE,43000,2280,Yes
DUBUQUE,59000,6644,No
DUBUQUE,161000,14250,Yes
DUBUQUE,139900,8932,Yes
DUBUQUE,143000,7200,Yes
DUBUQUE,105000,12768,Yes
DUBUQUE,95500,6000,Yes
DUBUQUE,186000,15228,Yes
DUBUQUE,142500,7800,Yes
DUBUQUE,166000,10050,Yes
DUBUQUE,130000,7040,Yes
DUBUQUE,260000,11830,Yes
DUBUQUE,237500,12500,Yes
DUBUQUE,2.00E+05,13920,Yes
DUBUQUE,181000,17836,Yes
ASBURY,395500,11835,Yes
ASBURY,289900,10815,Yes
ASBURY,379376,10784,Yes
ASBURY,298797,3074,Yes
